Tweets,Sentiment Score,Sentiment Magnitude
Agradecemos a @mreparaguay 🇵🇾 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradecemos a @MAPPOEA su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"🇵🇾-🇨🇴 El Gobierno de la República del Paraguay expresa su más enérgica condena al atentando terrorista contra el Presidente de Colombia, Iván Duque, y comitiva. ",0,0
"Asimismo, hace llegar al Presidente Duque las expresiones de solidaridad y apoyo. ",0.600000024,0.600000024
@IvanDuque @infopresidencia. ,0,0
Dios guarde a Colombia y al presidente @IvanDuque. ,0.100000001,0.100000001
Los terroristas y el narcotráfico no podrán amedrentar jamás a esos 49 millones 900.000 colombianos honestos que trabajamos por un futuro de progreso y equidad para toda Colombia. ,0,0
Agradezco a @Almagro_OEA2015 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @jguaido 🇻🇪 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"#Colombia🇨🇴 La #CIDH condena el ataque reportado al helicóptero presidencial en Cúcuta el #25jun en el que se trasladaban el Presidente Iván Duque, el Ministro de Defensa Diego Molano y Ministro del Interior Daniel Palacios. ",0,0
"Tal como explicamos en 3 reuniones con CIDH, quienes pretenden asediar a la democracia y ciudadanos de Colombia a punta de amenazas, chantajes, terrorismo y cualquier forma de amedrentamiento, deben saber que tenemos instituciones, capacidad y determinación de luchar por Colombia. ",-0.200000003,0.200000003
Dos mujeres ganaron las elecciones atípicas paras las Alcaldías de Girón y Simacota. ,0.800000012,0.800000012
"Nuestra #GenteDelMar es la gran beneficiada con empleo, apoyo a la industria de astilleros, agencias marítimas, y reconocimiento internacional, que permitirá superar los altos índices de pobreza, mejorando su calidad de vida. ",0.5,0.5
#LeyDeAbanderamiento. ,0.100000001,0.100000001
"El #Congreso aprobó Proyecto de Ley 496 de 2020 @CamaraColombia – 202 de 2020 @SenadoGovCo, que incluye a 🇨🇴 en el Tratado Internacional sobre los principios que deben regir las actividades de los estados en la exploración y utilización del espacio ultraterrestre. ",0.200000003,0.200000003
Sigue 🧵👇🏼. ,0.300000012,0.300000012
Muchas felicitaciones a una firma colombiana de jóvenes y expertos en ddhh.//. ,0.899999976,0.899999976
"En reunión con la Representante de la Alta Comisionada para @ONUHumanRights, Juliette de Rivero, expresé que #Colombia es un país respetuoso y garante de los #DerechosHumanos y la protesta pacífica, pero bajo ningún motivo tolerará violencia, caos, bloqueos y vandalismo. ",-0.100000001,0.100000001
"Noticia 🗞️| Aprobado en cuarto debate en el #Congreso, el proyecto de Ley de #AbanderamientoDeBuques 464/20, con el cual 🇨🇴 se convertirá en una potencia bioceánica. ",0.100000001,0.100000001
"Esta es una iniciativa de @ViceColombia, @DimarColombia, @ArmadaColombia, @MinDefensa y la @ccoceano. ",0,0
"En la facultad de derecho de la U Javeriana se forman profesionales con un sentido ético de la aplicación de la ley , para procurar el ejercicio pleno de los derechos que garantizan una vida digna a cada ciudadano. ",0.600000024,0.600000024
#SemrexComunica Enaltecemos y valoramos la reunión del día de hoy con @mluciaramirez quien en su rol de #VicepresidenteYCanciller atendió de muy buena manera las solicitudes presentadas por los representantes de nuestra Junta Directiva @CancilleriaCol @ViceColombia. ,0.899999976,0.899999976
Excelente contar con apoyo de Brasil a Presidencia de CAF en cabeza de exministro Sergio Diaz Granados. ,0.899999976,0.899999976
La propuesta de Colombia es fortalecer aparato productivo y empleos de AL //. ,0.400000006,0.400000006
Tenemos el deber ético y moral de recibir y regularizar a cerca de dos millones de venezolanos en Colombia. ,0.5,0.5
"¡Es nuestro gran desafío #ConLosRefugiados!, garantizar la totalidad de sus derechos, a través del #EstatutoTemporalDeProtección, con énfasis en mujeres y niños. ",0.800000012,0.800000012
